ID,timepoint,posterior_mean,posterior_se,ci_2_5,ci_97_5
227,Y_t3,-1.4236126563131883,,-1.4236126563131883,-1.4236126563131883
228,Y_t2,-2.128004284670191,,-2.128004284670191,-2.128004284670191
228,Y_t3,1.9890395772600686,,1.9890395772600686,1.9890395772600686
229,Y_t2,-4.089707060656787,,-4.089707060656787,-4.089707060656787
229,Y_t3,0.9028627175582067,,0.9028627175582067,0.9028627175582067
230,Y_t2,2.565775757290683,,2.565775757290683,2.565775757290683
230,Y_t3,0.8247661007513226,,0.8247661007513226,0.8247661007513226
231,Y_t3,-1.5081100685107705,,-1.5081100685107705,-1.5081100685107705
232,Y_t2,-1.1815108344918102,,-1.1815108344918102,-1.1815108344918102
232,Y_t3,-1.0192692887298316,,-1.0192692887298316,-1.0192692887298316
233,Y_t2,3.0527128442928806,,3.0527128442928806,3.0527128442928806
233,Y_t3,2.4727399673493338,,2.4727399673493338,2.4727399673493338
234,Y_t3,1.911263711419271,,1.911263711419271,1.911263711419271
235,Y_t2,2.7432923901417214,,2.7432923901417214,2.7432923901417214
235,Y_t3,3.558063518183666,,3.558063518183666,3.558063518183666
236,Y_t3,2.211003462988736,,2.211003462988736,2.211003462988736
237,Y_t2,4.818292303610702,,4.818292303610702,4.818292303610702
237,Y_t3,2.0218431491211506,,2.0218431491211506,2.0218431491211506
238,Y_t2,0.39287334438930654,,0.39287334438930654,0.39287334438930654
238,Y_t3,2.0647935178207937,,2.0647935178207937,2.0647935178207937
239,Y_t3,-0.21689802505469813,,-0.21689802505469813,-0.21689802505469813
240,Y_t2,-4.3324646244279785,,-4.3324646244279785,-4.3324646244279785
240,Y_t3,-0.010999276295712734,,-0.010999276295712734,-0.010999276295712734
244,Y_t3,-1.6796509875401426,,-1.6796509875401426,-1.6796509875401426
245,Y_t2,-1.6485580197920404,,-1.6485580197920404,-1.6485580197920404
245,Y_t3,2.439860932949663,,2.439860932949663,2.439860932949663
