ID,timepoint,is_original_missing,is_validation_holdout,posterior_mean,posterior_se,ci_2_5,ci_97_5
149,Y_t3,True,False,0.36656756740638685,1.4309453964233398,-2.4860448837280273,3.158691883087158
150,Y_t2,True,False,0.35349670181584847,1.4351911544799805,-2.3900933265686035,3.19576096534729
150,Y_t3,True,False,0.36809823200817193,1.4147746562957764,-2.5516698360443115,3.2020506858825684
151,Y_t2,True,False,0.33760943708190494,1.4262124300003052,-2.4501280784606934,3.19326114654541
151,Y_t3,True,False,0.35465758187783036,1.4225438833236694,-2.4762773513793945,3.126013994216919
152,Y_t2,True,False,0.3957456314542409,1.4206305742263794,-2.3091297149658203,3.1550605297088623
152,Y_t3,True,False,0.40235572038658446,1.455204725265503,-2.446166515350342,3.2511022090911865
153,Y_t2,False,True,0.3517278139954236,1.425161600112915,-2.4862334728240967,3.007918119430542
154,Y_t3,False,True,0.3490877744612164,1.4554708003997803,-2.4469099044799805,3.1777329444885254
155,Y_t1,False,True,0.28052705586427984,1.429571509361267,-2.517169237136841,3.1200835704803467
155,Y_t3,False,True,0.43872743710685014,1.422521710395813,-2.2723255157470703,3.3552138805389404
156,Y_t2,True,False,0.344528881352801,1.4295482635498047,-2.5658376216888428,3.0487804412841797
156,Y_t3,True,False,0.37263011295174664,1.4136290550231934,-2.4184134006500244,3.06329607963562
157,Y_t2,False,True,0.3128072444453456,1.3893331289291382,-2.4762396812438965,3.158726930618286
160,Y_t1,False,True,0.38530774614091085,1.431499719619751,-2.274766206741333,3.269845962524414
160,Y_t2,True,False,0.33312584549823043,1.4015839099884033,-2.4053540229797363,2.9465534687042236
160,Y_t3,True,False,0.36498044936962104,1.4190562963485718,-2.4322588443756104,3.237612009048462
161,Y_t2,True,False,0.3960327270185839,1.4722155332565308,-2.4020678997039795,3.287883996963501
161,Y_t3,True,False,0.37790967353448973,1.4579823017120361,-2.6064414978027344,3.1715471744537354
162,Y_t2,True,False,0.3595465304279427,1.4333916902542114,-2.446316719055176,3.181441307067871
162,Y_t3,True,False,0.3620436603487491,1.439796805381775,-2.4464640617370605,3.0881526470184326
163,Y_t2,True,False,0.35750349942956516,1.409867525100708,-2.430518388748169,3.182020902633667
