Rank_by_RMSE,Model,Z,mu_prior_sd,tau_halfcauchy_scale,sigma_y_used,sigma_c_used,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage,Rhat_mu,Rhat_tau,tau_accept_rate,Method_Type
28,Ind_FixedZ0p9_muSD5_HC1p0_sigY1p36_sigC0p849,0.9,5.0,1.0,1.3580511528512091,0.8487819705320057,1.7739690678510598,0.15430148628769128,1.7691572529791035,0.8855291576673866,1.001637042913182,1.0566018516804854,0.20600000000000002,Bayesian independent fixed Z
29,Ind_FixedZ0p9_muSD10_HC1p0_sigY1p36_sigC0p849,0.9,10.0,1.0,1.3580511528512091,0.8487819705320057,1.7739698148667196,0.1543100743195181,1.7691572529791035,0.8855291576673866,1.0016371930094736,1.0566018516804854,0.20600000000000002,Bayesian independent fixed Z
30,Ind_FixedZ0p9_muSD5_HC5p0_sigY2p04_sigC1p36,0.9,5.0,5.0,2.0370767292768135,1.3580511528512091,1.774155437739854,0.14864586125203397,1.7698296940134772,0.9632829373650108,1.1710470959934556,1.0335494909764673,0.22,Bayesian independent fixed Z
31,Ind_FixedZ0p9_muSD10_HC5p0_sigY2p04_sigC1p36,0.9,10.0,5.0,2.0370767292768135,1.3580511528512091,1.774157052640632,0.14866513458091132,1.7698296940134775,0.9632829373650108,1.1710544044873883,1.0335494909764673,0.22,Bayesian independent fixed Z
32,Ind_FixedZ0p9_muSD5_HC5p0_sigY1p36_sigC1p02,0.9,5.0,5.0,1.3580511528512091,1.0185383646384067,1.7742862486833182,0.13560330043410976,1.7710103576891127,0.8876889848812095,1.014246360780398,3.42445717169394,0.2015,Bayesian independent fixed Z
33,Ind_FixedZ0p9_muSD10_HC5p0_sigY1p36_sigC1p02,0.9,10.0,5.0,1.3580511528512091,1.0185383646384067,1.7742869519842994,0.135612502386903,1.7710103576891127,0.8876889848812095,1.014244388904828,3.42445717169394,0.2015,Bayesian independent fixed Z
34,Ind_FixedZ0p9_muSD5_HC5p0_sigY1p7_sigC1p02,0.9,5.0,5.0,1.6975639410640113,1.0185383646384067,1.7746758517565813,0.14761311522091713,1.7704391058230537,0.9352051835853131,1.2342406125697183,1.0377744549090184,0.21050000000000002,Bayesian independent fixed Z
35,Ind_FixedZ0p9_muSD10_HC5p0_sigY1p7_sigC1p02,0.9,10.0,5.0,1.6975639410640113,1.0185383646384067,1.7746769032632939,0.14762575640271003,1.7704391058230537,0.9352051835853131,1.234244694580599,1.0377744549090184,0.21050000000000002,Bayesian independent fixed Z
36,Ind_FixedZ0p5_muSD5_HC1p0_sigY1p7_sigC1p36,0.5,5.0,1.0,1.6975639410640113,1.3580511528512091,1.77470743786337,0.1431655930339534,1.7708368149774907,0.9308855291576674,2.0169229425608264,6.429505947699703,0.1805,Bayesian independent fixed Z
37,Ind_FixedZ0p5_muSD10_HC1p0_sigY1p7_sigC1p36,0.5,10.0,1.0,1.6975639410640113,1.3580511528512091,1.7747080241532431,0.14317286060948817,1.7708368149774907,0.9308855291576674,2.0169678532334747,6.429505947699703,0.1805,Bayesian independent fixed Z
38,Ind_FixedZ0p9_muSD5_HC1p0_sigY1p36_sigC1p19,0.9,5.0,1.0,1.3580511528512091,1.1882947587448078,1.7748483223427634,0.13097862053012632,1.7719233630667948,0.8941684665226782,0.9994011608568785,1.626883186141627,0.1925,Bayesian independent fixed Z
39,Ind_FixedZ0p9_muSD10_HC1p0_sigY1p36_sigC1p19,0.9,10.0,1.0,1.3580511528512091,1.1882947587448078,1.7748490605910092,0.13098862391002275,1.7719233630667948,0.8941684665226782,0.9994012235954186,1.626883186141627,0.1925,Bayesian independent fixed Z
40,Ind_FixedZ0p9_muSD5_HC1p0_sigY1p36_sigC1p36,0.9,5.0,1.0,1.3580511528512091,1.3580511528512091,1.7750501192779535,0.12029287178285192,1.7728849792194739,0.896328293736501,1.0379835482218154,1.0614122120864824,0.195,Bayesian independent fixed Z
41,Ind_FixedZ0p9_muSD10_HC1p0_sigY1p36_sigC1p36,0.9,10.0,1.0,1.3580511528512091,1.3580511528512091,1.7750508452519256,0.12030358383133839,1.772884979219474,0.896328293736501,1.0379839219113414,1.0614122120864824,0.195,Bayesian independent fixed Z
